Film,Ceremony,Award,Year
The Brutalist,Golden Globes (USA),Winner: Best Motion Picture - Drama,2025
The Brutalist,Golden Globes (USA),Winner: Best dramatic film,2025
The Brutalist,New York Film Critics Circle Awards,Winner: Best Film,2024
The Brutalist,New York Film Critics Circle Awards,Winner: Best Actor,2024
The Brutalist,Los Angeles Film Critics Association Awards,2nd place: Best Picture,2024
The Brutalist,Los Angeles Film Critics Association Awards,Winner: Best Production Design,2024
The Brutalist,Los Angeles Film Critics Association Awards,2nd place: Best Cinematography,2024
The Brutalist,Chicago International Film Festival,Official Selection,2024
The Brutalist,San Francisco Bay Area Film Critics Circle,Nominee: Best Original Screenplay,2025
The Brutalist,San Francisco Bay Area Film Critics Circle,Winner: Best Cinematography,2025
The Brutalist,San Francisco Bay Area Film Critics Circle,Nominee: Best Film,2025
The Brutalist,San Francisco Bay Area Film Critics Circle,2nd place: Best Editing,2025
The Brutalist,San Francisco Bay Area Film Critics Circle,Winner: Best Director,2025
The Brutalist,San Francisco Bay Area Film Critics Circle,Winner: Best Original Score,2025
The Brutalist,San Francisco Bay Area Film Critics Circle,2nd place: Best Actor,2025
The Brutalist,San Francisco Bay Area Film Critics Circle,Winner: Best Production Design,2025
The Brutalist,San Francisco Bay Area Film Critics Circle,Nominee: Best Supporting Actor,2025
The Brutalist,London Critics Circle Film Awards,Nominee: Young British/Irish Performer of the Year,2025
The Brutalist,London Critics Circle Film Awards,Winner: Film of the Year,2025
The Brutalist,London Critics Circle Film Awards,Nominee: Technical Achievement Award - Production Design,2025
The Brutalist,London Critics Circle Film Awards,Nominee: Director of the Year,2025
The Brutalist,London Critics Circle Film Awards,Nominee: Screenwriter of the Year,2025
The Brutalist,London Critics Circle Film Awards,Nominee: Actor of the Year,2025
The Brutalist,London Critics Circle Film Awards,Nominee: Supporting Actor of the Year,2025
The Brutalist,Göteborg Film Festival,Official Selection,2025
The Brutalist,Toronto Film Critics Association Awards,Nominee: Best Picture,2024
The Brutalist,Toronto Film Critics Association Awards,Nominee: Outstanding Lead Performance,2024
The Brutalist,National Society of Film Critics Awards,2nd place: Best Actor,2025
The Brutalist,National Society of Film Critics Awards,2nd place: Best Supporting Actor,2025
The Brutalist,National Society of Film Critics Awards,2nd place: Best Cinematography,2025
The Brutalist,Chicago Film Critics Association Awards,Nominee: Best Supporting Actor,2024
The Brutalist,Chicago Film Critics Association Awards,Nominee: Best Original Screenplay,2024
The Brutalist,Chicago Film Critics Association Awards,Winner: Best Picture,2024
The Brutalist,Chicago Film Critics Association Awards,Nominee: Best Art Direction/Production Design,2024
The Brutalist,Chicago Film Critics Association Awards,Nominee: Best Director,2024
The Brutalist,Chicago Film Critics Association Awards,Nominee: Best Cinematography,2024
The Brutalist,Chicago Film Critics Association Awards,Winner: Best Actor,2024
The Brutalist,Chicago Film Critics Association Awards,Nominee: Best Editing,2024
The Brutalist,Chicago Film Critics Association Awards,Nominee: Best Supporting Actor,2024
The Brutalist,Chicago Film Critics Association Awards,Nominee: Best Original Score,2024
The Brutalist,Boston Society of Film Critics Awards,Winner: Best Cinematography,2024
The Brutalist,Boston Society of Film Critics Awards,Winner: Best Original Score,2024
The Brutalist,New York Film Critics,Winner: Best Film,2024
The Brutalist,New York Film Critics,Winner: Best Actor,2024
The Brutalist,Austin Film Critics Association,Winner: Best Original Score,2025
The Brutalist,Austin Film Critics Association,Nominee: Best Supporting Actor,2025
The Brutalist,Austin Film Critics Association,Winner: [2] AFCA Top 10 Films,2025
The Brutalist,Austin Film Critics Association,Nominee: Best Ensemble,2025
The Brutalist,Austin Film Critics Association,Nominee: Best Director,2025
The Brutalist,Austin Film Critics Association,Nominee: Best Original Screenplay,2025
The Brutalist,Austin Film Critics Association,Nominee: Best Picture,2025
The Brutalist,Austin Film Critics Association,Winner: Best Cinematography,2025
The Brutalist,Austin Film Critics Association,Nominee: Best Actor,2025
The Brutalist,Austin Film Critics Association,Nominee: Best Editing,2025
The Brutalist,Austin Film Critics Association,Nominee: Best Supporting Actress,2025
The Brutalist,Tallinn Black Nights Film Festival,Official Selection,2024
The Brutalist,Valladolid International Film Festival,Official Selection,2024
The Brutalist,Philadelphia Film Festival,Official Selection,2024
The Brutalist,Athens International Film Festival,Official Selection,2024
The Brutalist,Seattle Film Critics Awards,Nominee: Best Editing,2025
The Brutalist,Seattle Film Critics Awards,Nominee: Best Picture,2025
The Brutalist,Seattle Film Critics Awards,Nominee: Best Supporting Actor,2025
The Brutalist,Seattle Film Critics Awards,Nominee: Best Cinematography,2025
The Brutalist,Seattle Film Critics Awards,Nominee: Best Screenplay,2025
The Brutalist,Seattle Film Critics Awards,Nominee: Best Director,2025
The Brutalist,Seattle Film Critics Awards,Winner: Best Production Design,2025
The Brutalist,Seattle Film Critics Awards,Nominee: Best Original Score,2025
The Brutalist,Seattle Film Critics Awards,Nominee: Best Lead Actor,2025
The Brutalist,Viennale,Official Selection,2024
The Brutalist,Tromsø International Film Festival,Official Selection,2025
The Brutalist,Gotham Awards,Nominee: Outstanding Lead Performance,2024
The Brutalist,Gotham Awards,Nominee: Outstanding Supporting Performance,2024
The Brutalist,Women Film Critics Circle Awards,Nominee: Best Supporting Actress,2024
The Brutalist,Women Film Critics Circle Awards,Nominee: Best Actor,2024
The Brutalist,Geneva Film Festival,Official Selection,2024
The Brutalist,Critics Choice Awards,Nominee: Best Original Screenplay,2025
The Brutalist,Critics Choice Awards,Nominee: Best Cinematography,2025
The Brutalist,Critics Choice Awards,Nominee: Best Picture,2025
The Brutalist,Critics Choice Awards,Nominee: Best Editing,2025
The Brutalist,Critics Choice Awards,Nominee: Best Director,2025
The Brutalist,Critics Choice Awards,Nominee: Best Production Design,2025
The Brutalist,Critics Choice Awards,Winner: Best Actor,2025
The Brutalist,Critics Choice Awards,Nominee: Best Score,2025
The Brutalist,Critics Choice Awards,Nominee: Best Supporting Actor,2025
The Brutalist,Lisbon & Estoril Film Festival,Official Selection,2024
The Brutalist,Austin Film Festival,Official Selection,2024
The Brutalist,Haifa International Film Festival,Official Selection,2024
The Brutalist,Capri Hollywood International Film Festival,Winner: Best Actor,2024
The Brutalist,Capri Hollywood International Film Festival,Winner: Best Cinematography,2024
The Brutalist,Capri Hollywood International Film Festival,Winner: Best Original Score,2024
The Brutalist,Beyond Fest,Official Selection,2024
The Brutalist,SCAD Savannah Film Festival,Official Selection,2024
A Complete Unknown,Berlin International Film Festival,Official Selection,2025
A Complete Unknown,Academy Awards,Nominee: Best Adapted Screenplay,2025
A Complete Unknown,Academy Awards,Nominee: Best Picture,2025
A Complete Unknown,Academy Awards,Nominee: Best Costume Design,2025
A Complete Unknown,Academy Awards,Nominee: Best Actor in a Leading Role,2025
A Complete Unknown,Academy Awards,Nominee: Best Sound,2025
A Complete Unknown,Academy Awards,Nominee: Best Actor in a Supporting Role,2025
A Complete Unknown,Academy Awards,Nominee: Best Actress in a Supporting Role,2025
A Complete Unknown,Academy Awards,Nominee: Best Director,2025
A Complete Unknown,International Film Festival Rotterdam,Official Selection,2025
A Complete Unknown,American Film Institute Awards,Winner: Movie of the Year,2024
A Complete Unknown,National Board of Review,Winner: Best Supporting Actress,2024
A Complete Unknown,National Board of Review,Winner: Top Films,2024
A Complete Unknown,BAFTA Awards,Nominee: Best Costume Design,2025
A Complete Unknown,BAFTA Awards,Nominee: Best Casting,2025
A Complete Unknown,BAFTA Awards,Nominee: Best Supporting Actor,2025
A Complete Unknown,BAFTA Awards,Nominee: Best Screenplay (Adapted),2025
A Complete Unknown,BAFTA Awards,Nominee: Best Leading Actor,2025
A Complete Unknown,BAFTA Awards,Nominee: Best Film,2025
A Complete Unknown,Directors Guild of America,Nominee: Outstanding Directorial Achievement in Theatrical Feature Film,2025
A Complete Unknown,Golden Globes (USA),Nominee: Best Motion Picture - Drama,2025
A Complete Unknown,Golden Globes (USA),Nominee: Best Performance by a Male Actor in a Motion Picture – Drama,2025
A Complete Unknown,San Francisco Bay Area Film Critics Circle,Nominee: Best Actor,2025
A Complete Unknown,London Critics Circle Film Awards,Nominee: Actor of the Year,2025
A Complete Unknown,London Critics Circle Film Awards,Nominee: Technical Achievement Award - Costumes,2025
A Complete Unknown,Göteborg Film Festival,Official Selection,2025
A Complete Unknown,National Society of Film Critics Awards,3rd place: Best Supporting Actor,2025
A Complete Unknown,Chicago Film Critics Association Awards,Nominee: Best Actor,2024
A Complete Unknown,Boston Society of Film Critics Awards,Winner: Best Actor,2024
A Complete Unknown,Boston Society of Film Critics Awards,Winner: Best Supporting Actor,2024
A Complete Unknown,Tromsø International Film Festival,Official Selection,2025
A Complete Unknown,Critics Choice Awards,Nominee: Best Picture,2025
A Complete Unknown,Critics Choice Awards,Nominee: Best Actor,2025
A Complete Unknown,Critics Choice Awards,Nominee: Best Supporting Actor,2025
Sing Sing,Academy Awards,Nominee: Best Original Song,2025
Sing Sing,Academy Awards,Nominee: Best Actor in a Leading Role,2025
Sing Sing,Academy Awards,Nominee: Best Adapted Screenplay,2025
Sing Sing,Independent Spirit Awards,Nominee: Best Supporting Performance,2025
Sing Sing,Independent Spirit Awards,Nominee: Best Lead Performance,2025
Sing Sing,Independent Spirit Awards,Nominee: Best Feature,2025
Sing Sing,Toronto International Film Festival,Official Selection,2023
Sing Sing,SXSW Film Festival,Winner: Audience Award,2024
Sing Sing,Indiewire Critics' Poll,Nominee: Best Performance,2024
Sing Sing,American Film Institute Awards,Winner: Movie of the Year,2024
Sing Sing,National Board of Review,Winner: Best Adapted Screenplay,2024
Sing Sing,National Board of Review,Winner: Top Films,2024
Sing Sing,Mar del Plata International Film Festival,Official Selection,2024
Sing Sing,San Francisco International Film Festival,Official Selection,2024
Sing Sing,BAFTA Awards,Nominee: Best Supporting Actor,2025
Sing Sing,BAFTA Awards,Nominee: Best Screenplay (Adapted),2025
Sing Sing,BAFTA Awards,Nominee: Best Leading Actor,2025
Sing Sing,Golden Globes (USA),Nominee: Best Performance by a Male Actor in a Motion Picture – Drama,2025
Sing Sing,Los Angeles Film Critics Association Awards,3rd place: Best Supporting Performance,2024
Sing Sing,Edinburgh International Film Festival,Official Selection,2024
Sing Sing,San Francisco Bay Area Film Critics Circle,Winner: Best Actor,2025
Sing Sing,San Francisco Bay Area Film Critics Circle,Nominee: Best Supporting Actor,2025
Sing Sing,San Francisco Bay Area Film Critics Circle,Winner: Best Adapted Screenplay,2025
Sing Sing,San Francisco Bay Area Film Critics Circle,2nd place: Best Film,2025
Sing Sing,London Critics Circle Film Awards,Nominee: Actor of the Year,2025
Sing Sing,Antalya Golden Orange Film Festival,Official Selection,2024
Sing Sing,Toronto Film Critics Association Awards,Nominee: Outstanding Lead Performance,2024
Sing Sing,Toronto Film Critics Association Awards,Nominee: Outstanding Supporting Performance,2024
Sing Sing,Toronto Film Critics Association Awards,Winner: Breakthrough Performance,2024
Sing Sing,National Society of Film Critics Awards,Winner: Best Actor,2025
Sing Sing,Chicago Film Critics Association Awards,Nominee: Best Supporting Actor,2024
Sing Sing,Chicago Film Critics Association Awards,Nominee: Best Adapted Screenplay,2024
Sing Sing,Chicago Film Critics Association Awards,Nominee: Milos Stehlik Award for Breakthrough Filmmaker,2024
Sing Sing,Chicago Film Critics Association Awards,Winner: Most Promising Performer,2024
Sing Sing,Chicago Film Critics Association Awards,Nominee: Best Actor,2024
Sing Sing,Boston Society of Film Critics Awards,Winner: Best Ensemble Cast,2024
Sing Sing,Seattle International Film Festival,Winner: Golden Space Needle Award for Best Film,2024
Sing Sing,Austin Film Critics Association,Winner: Best Ensemble,2025
Sing Sing,Austin Film Critics Association,Winner: Best Adapted Screenplay,2025
Sing Sing,Austin Film Critics Association,Winner: The Robert R. “Bobby” McCurdy Memorial Breakthrough Artist Award,2025
Sing Sing,Austin Film Critics Association,Nominee: Best Picture,2025
Sing Sing,Austin Film Critics Association,Winner: Best Austin Film Award,2025
Sing Sing,Austin Film Critics Association,Winner: Best Actor,2025
Sing Sing,Austin Film Critics Association,Winner: [4] AFCA Top 10 Films,2025
Sing Sing,Austin Film Critics Association,Nominee: Best Supporting Actor,2025
Sing Sing,Melbourne International Film Festival,Official Selection,2024
Sing Sing,Valladolid International Film Festival,Official Selection,2024
Sing Sing,Deauville Film Festival,Official Selection,2024
Sing Sing,Jerusalem Film Festival,Official Selection,2024
Sing Sing,Miami International Film Festival,Official Selection,2024
Sing Sing,Seattle Film Critics Awards,Nominee: Best Ensemble,2025
Sing Sing,Seattle Film Critics Awards,Nominee: Best Picture,2025
Sing Sing,Seattle Film Critics Awards,Nominee: Best Ensemble Cast,2025
Sing Sing,Seattle Film Critics Awards,Winner: Best Supporting Actor,2025
Sing Sing,Seattle Film Critics Awards,Winner: Best Lead Actor,2025
Sing Sing,Gotham Awards,Winner: Outstanding Lead Performance,2024
Sing Sing,Gotham Awards,Winner: Outstanding Supporting Performance,2024
Sing Sing,Gotham Awards,Winner: Social Justice Tribute,2024
Sing Sing,Palm Springs International Film Festival,Official Selection,2025
Sing Sing,Women Film Critics Circle Awards,Winner: Best Actor,2024
Sing Sing,Boston Independent Film Festival,Official Selection,2024
Sing Sing,Critics Choice Awards,Nominee: Best Supporting Actor,2025
Sing Sing,Critics Choice Awards,Nominee: Best Acting Ensemble,2025
Sing Sing,Critics Choice Awards,Nominee: Best Adapted Screenplay,2025
Sing Sing,Critics Choice Awards,Nominee: Best Picture,2025
Sing Sing,Critics Choice Awards,Nominee: Best Actor,2025
Sing Sing,Lisbon & Estoril Film Festival,Official Selection,2024
Sing Sing,Black Reel Awards,Nominee: Outstanding Ensemble,2025
Sing Sing,Black Reel Awards,Nominee: Outstanding Original Song,2025
Sing Sing,Black Reel Awards,Nominee: Outstanding Breakthrough Performance,2025
Sing Sing,Black Reel Awards,Nominee: Outstanding Film,2025
Sing Sing,Black Reel Awards,Nominee: Outstanding Lead Performance,2025
Sing Sing,Black Reel Awards,Nominee: Outstanding Supporting Performance,2025
Sing Sing,Dallas International Film Festival,Official Selection,2024
Sing Sing,Atlanta Film Festival,Official Selection: Closing Night Presentation,2024
Sing Sing,Leiden International Film Festival,Official Selection,2024
Conclave,Academy Awards,Nominee: Best Editing,2025
Conclave,Academy Awards,Nominee: Best Production Design,2025
Conclave,Academy Awards,Nominee: Best Picture,2025
Conclave,Academy Awards,Nominee: Best Costume Design,2025
Conclave,Academy Awards,Nominee: Best Actor in a Leading Role,2025
Conclave,Academy Awards,Nominee: Best Original Score,2025
Conclave,Academy Awards,Nominee: Best Actress in a Supporting Role,2025
Conclave,Academy Awards,Nominee: Best Adapted Screenplay,2025
Conclave,Toronto International Film Festival,Official Selection,2024
Conclave,San Sebastián International Film Festival,Official Selection,2024
Conclave,Telluride Film Festival,Official Selection,2024
Conclave,Indiewire Critics' Poll,Nominee: Best Director,2024
Conclave,Indiewire Critics' Poll,Nominee: Best Cinematography,2024
Conclave,Indiewire Critics' Poll,Nominee: Best Screenplay,2024
Conclave,BFI London Film Festival,Official Selection,2024
Conclave,American Film Institute Awards,Winner: Movie of the Year,2024
Conclave,National Board of Review,Winner: Best Ensemble,2024
Conclave,National Board of Review,Winner: Top Films,2024
Conclave,Mar del Plata International Film Festival,Official Selection,2024
Conclave,BAFTA Awards,Nominee: Original Score,2025
Conclave,BAFTA Awards,Nominee: Best Editing,2025
Conclave,BAFTA Awards,Nominee: Best Supporting Actress,2025
Conclave,BAFTA Awards,Nominee: Best Director,2025
Conclave,BAFTA Awards,Nominee: Best Screenplay (Adapted),2025
Conclave,BAFTA Awards,Nominee: Best Costume Design,2025
Conclave,BAFTA Awards,Nominee: Best Production Design,2025
Conclave,BAFTA Awards,Nominee: Best Cinematography,2025
Conclave,BAFTA Awards,Nominee: Best Leading Actor,2025
Conclave,BAFTA Awards,Nominee: Outstanding British Film of the Year,2025
Conclave,BAFTA Awards,Nominee: Best Casting,2025
Conclave,BAFTA Awards,Nominee: Best Film,2025
Conclave,Directors Guild of America,Nominee: Outstanding Directorial Achievement in Theatrical Feature Film,2025
Conclave,Golden Globes (USA),Nominee: Best Original Score - Motion Picture,2025
Conclave,Golden Globes (USA),Nominee: Best Motion Picture - Drama,2025
Conclave,Golden Globes (USA),Nominee: Best Performance by a Male Actor in a Motion Picture – Drama,2025
Conclave,Golden Globes (USA),Nominee: Best Performance by a Female Actor in a Supporting Role in any Motion Picture,2025
Conclave,Golden Globes (USA),Nominee: Best Director - Motion Picture,2025
Conclave,Golden Globes (USA),Winner: Best Screenplay - Motion Picture,2025
Conclave,European Film Awards,Nominee: European Actor,2024
Conclave,Vancouver International Film Festival,Official Selection,2024
Conclave,Chicago International Film Festival,Official Selection,2024
Conclave,San Francisco Bay Area Film Critics Circle,Nominee: Best Editing,2025
Conclave,San Francisco Bay Area Film Critics Circle,2nd place: Best Original Score,2025
Conclave,San Francisco Bay Area Film Critics Circle,Nominee: Best Actor,2025
Conclave,San Francisco Bay Area Film Critics Circle,Nominee: Best Production Design,2025
Conclave,San Francisco Bay Area Film Critics Circle,Nominee: Best Supporting Actress,2025
Conclave,San Francisco Bay Area Film Critics Circle,2nd place: Best Adapted Screenplay,2025
Conclave,San Francisco Bay Area Film Critics Circle,Nominee: Best Cinematography,2025
Conclave,London Critics Circle Film Awards,Winner: The Attenborough Award for British/Irish Film of the Year,2025
Conclave,London Critics Circle Film Awards,Nominee: Screenwriter of the Year,2025
Conclave,London Critics Circle Film Awards,Winner: Actor of the Year,2025
Conclave,London Critics Circle Film Awards,Nominee: Supporting Actress of the Year,2025
Conclave,London Critics Circle Film Awards,Nominee: Technical Achievement Award - Film Editing,2025
Conclave,London Critics Circle Film Awards,Nominee: Film of the Year,2025
Conclave,Toronto Film Critics Association Awards,Nominee: Outstanding Lead Performance,2024
Conclave,Toronto Film Critics Association Awards,Nominee: Best Adapted Screenplay,2024
Conclave,National Society of Film Critics Awards,3rd place: Best Actor,2025
Conclave,Chicago Film Critics Association Awards,Nominee: Best Actor,2024
Conclave,Chicago Film Critics Association Awards,Nominee: Best Adapted Screenplay,2024
Conclave,Mill Valley Film Festival,Official Selection,2024
Conclave,Ghent Film Festival,Official Selection,2024
Conclave,Austin Film Critics Association,Nominee: Best Actor,2025
Conclave,Austin Film Critics Association,Nominee: Best Ensemble,2025
Conclave,Austin Film Critics Association,Nominee: Best Adapted Screenplay,2025
Conclave,Austin Film Critics Association,Winner: [9] AFCA Top 10 Films,2025
Conclave,Austin Film Critics Association,Nominee: Best Picture,2025
Conclave,Tallinn Black Nights Film Festival,Official Selection,2024
Conclave,Philadelphia Film Festival,Official Selection,2024
Conclave,Zurich Film Festival,Official Selection,2024
Conclave,Athens International Film Festival,Official Selection,2024
Conclave,Seattle Film Critics Awards,Nominee: Best Production Design,2025
Conclave,Seattle Film Critics Awards,Nominee: Best Picture,2025
Conclave,Seattle Film Critics Awards,Nominee: Best Original Score,2025
Conclave,Seattle Film Critics Awards,Nominee: Best Ensemble Cast,2025
Conclave,Seattle Film Critics Awards,Nominee: Best Lead Actor,2025
Conclave,Seattle Film Critics Awards,Nominee: Best Ensemble,2025
Conclave,Seattle Film Critics Awards,Nominee: Best Supporting Actress,2025
Conclave,Seattle Film Critics Awards,Nominee: Best Costume Design,2025
Conclave,Seattle Film Critics Awards,Nominee: Best Screenplay,2025
Conclave,Rio de Janeiro International Film Festival,Official Selection,2024
Conclave,Palm Springs International Film Festival,Winner: Ensemble Performance Award,2025
Conclave,Women Film Critics Circle Awards,Nominee: Best Actor,2024
Conclave,Critics Choice Awards,Winner: Best Adapted Screenplay,2025
Conclave,Critics Choice Awards,Nominee: Best Picture,2025
Conclave,Critics Choice Awards,Nominee: Best Cinematography,2025
Conclave,Critics Choice Awards,Nominee: Best Director,2025
Conclave,Critics Choice Awards,Nominee: Best Editing,2025
Conclave,Critics Choice Awards,Nominee: Best Actor,2025
Conclave,Critics Choice Awards,Nominee: Best Costume Design,2025
Conclave,Critics Choice Awards,Nominee: Best Supporting Actress,2025
Conclave,Critics Choice Awards,Nominee: Best Production Design,2025
Conclave,Critics Choice Awards,Winner: Best Acting Ensemble,2025
Conclave,Critics Choice Awards,Nominee: Best Score,2025
Conclave,Marrakesh International Film Festival,Official Selection,2024
Conclave,International Film Festival of Kerala,Official Selection,2024
Conclave,San Diego International Film Festival,Official Selection,2024
Conclave,Haifa International Film Festival,Official Selection,2024
Conclave,Rome Film Festival,Official Selection,2024
Conclave,Capri Hollywood International Film Festival,Winner: Best Supporting Actress,2024
Conclave,Capri Hollywood International Film Festival,Winner: Best Director,2024
Conclave,Montclair Film Festival,Official Selection,2024
Conclave,Leiden International Film Festival,Official Selection,2024
Conclave,Leeds International Film Festival,Official Selection,2024
The Apprentice,Cannes Film Festival,Official Selection: Competition,2024
The Apprentice,Academy Awards,Nominee: Best Actor in a Leading Role,2025
The Apprentice,Academy Awards,Nominee: Best Actor in a Supporting Role,2025
The Apprentice,Independent Spirit Awards,Nominee: Best Editing,2025
The Apprentice,Independent Spirit Awards,Nominee: Best Director,2025
The Apprentice,Independent Spirit Awards,Nominee: Best Lead Performance,2025
The Apprentice,Toronto International Film Festival,Official Selection,2024
The Apprentice,Telluride Film Festival,Official Selection,2024
The Apprentice,BFI London Film Festival,Official Selection,2024
The Apprentice,BAFTA Awards,Nominee: Best Supporting Actor,2025
The Apprentice,BAFTA Awards,Nominee: Best Leading Actor,2025
The Apprentice,BAFTA Awards,Nominee: Best Casting,2025
The Apprentice,Golden Globes (USA),Nominee: Best Performance by a Male Actor in a Motion Picture – Drama,2025
The Apprentice,Golden Globes (USA),Nominee: Best Performance by an Actor in a Supporting Role in any Motion Picture,2025
The Apprentice,San Francisco Bay Area Film Critics Circle,Nominee: Best Supporting Actor,2025
The Apprentice,London Critics Circle Film Awards,Nominee: Supporting Actor of the Year,2025
The Apprentice,Festival du Nouveau Cinéma,Official Selection,2024
The Apprentice,Toronto Film Critics Association Awards,Nominee: Outstanding Supporting Performance,2024
The Apprentice,Ghent Film Festival,Official Selection,2024
The Apprentice,Austin Film Critics Association,Nominee: Best Supporting Actor,2025
The Apprentice,Hamburg Film Festival,Official Selection,2024
The Apprentice,Zurich Film Festival,Official Selection,2024
The Apprentice,Rio de Janeiro International Film Festival,Official Selection,2024
The Apprentice,Calgary International Film Festival,Official Selection,2024
The Apprentice,Riga International Film Festival,Official Selection,2024
The Apprentice,Beyond Fest,Official Selection,2024
The Apprentice,Message to Man International Film Festival,Official Selection,2024
The Apprentice,Leiden International Film Festival,Official Selection,2024
Anora,Cannes Film Festival,Winner: Palme d'Or,2024
Anora,Academy Awards,Nominee: Best Director,2025
Anora,Academy Awards,Nominee: Best Original Screenplay,2025
Anora,Academy Awards,Nominee: Best Editing,2025
Anora,Academy Awards,Nominee: Best Picture,2025
Anora,Academy Awards,Nominee: Best Actress in a Leading Role,2025
Anora,Academy Awards,Nominee: Best Actor in a Supporting Role,2025
Anora,Independent Spirit Awards,Nominee: Best Feature,2025
Anora,Independent Spirit Awards,Nominee: Best Lead Performance,2025
Anora,Independent Spirit Awards,Nominee: Best Supporting Performance,2025
Anora,Independent Spirit Awards,Nominee: Best Supporting Performance,2025
Anora,Independent Spirit Awards,Nominee: Best Director,2025
Anora,Toronto International Film Festival,3rd place: People’s Choice Award,2024
Anora,San Sebastián International Film Festival,Official Selection,2024
Anora,Telluride Film Festival,Official Selection,2024
Anora,Indiewire Critics' Poll,3rd place: Best Director,2024
Anora,Indiewire Critics' Poll,3rd place: Best Performance,2024
Anora,Indiewire Critics' Poll,Winner: Best Screenplay,2024
Anora,Indiewire Critics' Poll,Winner: Best Film,2024
Anora,São Paulo International Film Festival,Official Selection,2024
Anora,BFI London Film Festival,Official Selection,2024
Anora,American Film Institute Awards,Winner: Movie of the Year,2024
Anora,National Board of Review,Winner: Breakthrough Performance,2024
Anora,National Board of Review,Winner: Top Films,2024
Anora,BAFTA Awards,Nominee: Best Leading Actress,2025
Anora,BAFTA Awards,Nominee: Best Film,2025
Anora,BAFTA Awards,Nominee: Best Editing,2025
Anora,BAFTA Awards,Nominee: Best Director,2025
Anora,BAFTA Awards,Nominee: Best Supporting Actor,2025
Anora,BAFTA Awards,Nominee: Best Casting,2025
Anora,BAFTA Awards,Nominee: Best Screenplay (Original),2025
Anora,New York Film Festival,Official Selection,2024
Anora,Directors Guild of America,Winner: Outstanding Directorial Achievement in Theatrical Feature Film,2025
Anora,Golden Globes (USA),Nominee: Best Director - Motion Picture,2025
Anora,Golden Globes (USA),Nominee: Best Screenplay - Motion Picture,2025
Anora,Golden Globes (USA),Nominee: Best Motion Picture - Musical or Comedy,2025
Anora,Golden Globes (USA),Nominee: Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,2025
Anora,Golden Globes (USA),Nominee: Best Performance by an Actor in a Supporting Role in any Motion Picture,2025
Anora,New York Film Critics Circle Awards,Winner: Best Screenplay,2024
Anora,Los Angeles Film Critics Association Awards,Winner: Best Lead Performance,2024
